x,y,z,g,wa,wr
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
57.0,102.0,79.0,78,0.0,90
